#Hybrid model for DM Sun simulation 
#High metallicity hybrid model (BS05(OP) + CONV + FON_AGS05) 
#Radius Density Electron density 
#(R_sun) (g/cm^3) (cm^-3/N_A) 
0.0016 152.9 102.39163171599999
0.00171 152.9 102.39086721599999
0.00181 152.9 102.39163171599999
0.0019 152.9 102.392396216
0.00199 152.9 102.392396216
0.00207 152.9 102.393160716
0.00214 152.9 102.393925216
0.0022 152.9 102.393160716
0.00227 152.9 102.393925216
0.00233 152.9 102.39468971600002
0.00239 152.9 102.393925216
0.00245 152.9 102.39468971600002
0.0025 152.9 102.3962194805
0.00255 152.9 102.3954549805
0.00261 152.9 102.39621948049998
0.00265 152.9 102.39698398049998
0.0027 152.9 102.3962194805
0.00275 152.9 102.39774848049998
0.00279 152.9 102.3985129805
0.00283 152.9 102.39774848049998
0.00287 152.9 102.3992774805
0.00292 152.9 102.4000419805
0.00296 152.9 102.3992774805
0.00299 152.9 102.4008064805
0.00303 152.9 102.4023354805
0.00307 152.9 102.4015709805
0.00311 152.8 102.33536207600001
0.00315 152.8 102.336890076
0.00318 152.8 102.336126076
0.00322 152.8 102.336890076
0.00326 152.8 102.33841807600001
0.00329 152.8 102.337654076
0.00332 152.8 102.33841884
0.00335 152.8 102.33841884
0.00339 152.8 102.33918284
0.00342 152.8 102.33994684
0.00345 152.8 102.33994684
0.00348 152.8 102.34071084
0.00351 152.8 102.34223884
0.00354 152.8 102.34147484
0.00357 152.8 102.34223884
0.00361 152.8 102.34223884
0.00364 152.8 102.34300284
0.00367 152.8 102.34376684
0.00371 152.8 102.34453084000002
0.00373 152.8 102.34453084000002
0.00375 152.8 102.34529484
0.00378 152.8 102.34529484
0.0038 152.8 102.34605883999998
0.00382 152.8 102.34605883999998
0.00385 152.8 102.34682283999999
0.00387 152.8 102.34682283999999
0.0039 152.8 102.34758684
0.00392 152.8 102.34758684
0.00395 152.8 102.34835084000001
0.00397 152.8 102.34758760400001
0.00399 152.8 102.34911560400002
0.00402 152.8 102.34987960400002
0.00404 152.8 102.34987960400002
0.00407 152.8 102.35064360400001
0.00409 152.8 102.34987960400001
0.00412 152.8 102.351407604
0.00415 152.8 102.352171604
0.00417 152.8 102.352171604
0.0042 152.8 102.35293560400001
0.00422 152.8 102.352171604
0.00425 152.8 102.35369960400001
0.00428 152.8 102.35446360400002
0.0043 152.7 102.28671419850001
0.00433 152.7 102.28824119849999
0.00436 152.7 102.2890046985
0.00438 152.7 102.28824119849999
0.00441 152.7 102.28976819849998
0.00444 152.7 102.29053169849999
0.00447 152.7 102.2912951985
0.00449 152.7 102.29053169849999
0.00452 152.7 102.2920586985
0.00455 152.7 102.292822962
0.00458 152.7 102.293586462
0.00461 152.7 102.292822962
0.00464 152.7 102.293586462
0.00466 152.7 102.29511346199999
0.00468 152.7 102.294349962
0.00469 152.7 102.295876962
0.00471 152.7 102.29511346199999
0.00472 152.7 102.296640462
0.00474 152.7 102.296640462
0.00475 152.7 102.295876962
0.00477 152.7 102.297403962
0.00478 152.7 102.296640462
0.0048 152.7 102.29816746200001
0.00481 152.7 102.29816746200001
0.00483 152.7 102.297403962
0.00484 152.7 102.29893096199999
0.00486 152.7 102.29816746200001
